eid,ac08,state,ac,year,bye,won,margin,ashare
05-05-035,2008-05-035,uttarakhand,hardwar rural,2022,0,0,-46.38,0.21
05-05-059,2008-05-059,uttarakhand,haldwani,2022,0,0,-49.27,0.91
05-05-067,2008-05-067,uttarakhand,kichha,2022,0,0,-49.039997,0.47
05-05-070,2008-05-070,uttarakhand,khatima,2022,0,0,-51.8,0.09
09-17-003,2008-09-003,uttar pradesh,saharanpur nagar,2017,0,0,-46.43,0.25
09-17-008,2008-09-008,uttar pradesh,kairana,2017,0,0,-46.609997,0.65
09-17-017,2008-09-017,uttar pradesh,najibabad,2017,0,0,-36.579998,0.97
09-17-018,2008-09-018,uttar pradesh,nagina,2017,0,0,-34.66,2.09
09-17-025,2008-09-025,uttar pradesh,kanth,2017,0,0,-21.099998,9.05
09-17-026,2008-09-026,uttar pradesh,thakurdwara,2017,0,0,-38.39,3.68
09-17-027,2008-09-027,uttar pradesh,moradabad rural,2017,0,0,-42.649998,1.58
09-17-028,2008-09-028,uttar pradesh,moradabad,2017,0,0,-44.26,0.34
09-17-029,2008-09-029,uttar pradesh,kunderki,2017,0,0,-39.170002,2.66
09-17-033,2008-09-033,uttar pradesh,sambhal,2017,0,0,-8.25,24.59
09-17-041,2008-09-041,uttar pradesh,amroha,2017,0,0,-35.68,1.42
09-17-042,2008-09-042,uttar pradesh,hasanpur,2017,0,0,-43.170002,0.48
09-17-075,2008-09-075,uttar pradesh,koil,2017,0,0,-40.84,0.2
09-17-088,2008-09-088,uttar pradesh,agra south,2017,0,0,-51.399998,0.11
09-17-097,2008-09-097,uttar pradesh,firozabad,2017,0,0,-39.25,4.94
09-17-115,2008-09-115,uttar pradesh,badaun,2017,0,0,-40.620003,0.42
09-17-159,2008-09-159,uttar pradesh,bilgram malanwan,2017,0,0,-36.39,1.22
09-17-171,2008-09-171,uttar pradesh,lucknow west,2017,0,0,-41.949997,0.81
09-17-174,2008-09-174,uttar pradesh,lucknow central,2017,0,0,-39.010002,1.19
09-17-187,2008-09-187,uttar pradesh,issauli,2017,0,0,-24.92,2.02
09-17-214,2008-09-214,uttar pradesh,aryanagar,2017,0,0,-47.079998,1.06
09-17-263,2008-09-263,uttar pradesh,allahabad south,2017,0,0,-52.039997,0.49
09-17-267,2008-09-267,uttar pradesh,ram nagar,2017,0,0,-39.329998,0.54
09-17-268,2008-09-268,uttar pradesh,barabanki,2017,0,0,-40.25,0.29
09-17-274,2008-09-274,uttar pradesh,bikapur,2017,0,0,-40.73,1.47
09-17-278,2008-09-278,uttar pradesh,tanda,2017,0,0,-35.34,1.01
09-17-284,2008-09-284,uttar pradesh,matera,2017,0,0,-38.84,0.61
09-17-288,2008-09-288,uttar pradesh,kaiserganj,2017,0,0,-38.899998,1.77
09-17-290,2008-09-290,uttar pradesh,shrawasti,2017,0,0,-31.650002,1.21
09-17-292,2008-09-292,uttar pradesh,gainsari,2017,0,0,-26.8,1.61
09-17-293,2008-09-293,uttar pradesh,utraula,2017,0,0,-41.449997,1.49
09-17-302,2008-09-302,uttar pradesh,shohratgarh,2017,0,0,-33.59,2.64
09-17-312,2008-09-312,uttar pradesh,mehndawal,2017,0,0,-30.219997,8.47
09-17-313,2008-09-313,uttar pradesh,khalilabad,2017,0,0,-31.019999,1.15
09-17-315,2008-09-315,uttar pradesh,pharenda,2017,0,0,-37.420002,0.94
09-17-316,2008-09-316,uttar pradesh,nautanwa,2017,0,0,-36.23,0.84
09-17-329,2008-09-329,uttar pradesh,khadda,2017,0,0,-37.699997,4.56
09-17-338,2008-09-338,uttar pradesh,pathardeva,2017,0,0,-51.14,0.95
09-18-002,2008-09-002,uttar pradesh,nakur,2022,0,0,-37.14,1.33
09-18-004,2008-09-004,uttar pradesh,saharanpur,2022,0,0,-38.03,3.15
09-18-005,2008-09-005,uttar pradesh,deoband,2022,0,0,-37.32,1.45
09-18-009,2008-09-009,uttar pradesh,thana bhawan,2022,0,0,-47.32,0.15
09-18-011,2008-09-011,uttar pradesh,budhana,2022,0,0,-50.25,1.03
09-18-012,2008-09-012,uttar pradesh,charthawal,2022,0,0,-42.36,1.46
