mandal,ward_no,old_city,tap_water_treated,water_within_premises,closed_drainage,bathroom_within_premises,lpg_png_cooking,avails_banking,computer_internet,car_jeep_van,no_listed_assets
Shaikpet,104,no,98.8,98.3,97.5,99.4,88.6,83.7,46.1,43.2,1.2
Shaikpet,105,no,96.5,96.7,93.9,98.3,67.9,59.7,22.9,22.8,3.0
Shaikpet,107,no,97.7,96.9,97.5,98.1,57.2,38.4,3.9,2.2,5.3
Shaikpet,109,no,92.9,80.9,76.8,88.8,66.6,56.6,23.8,25.4,5.6
Shaikpet,110,no,96.6,90.6,93.3,96.7,80.7,72.6,28.1,21.7,2.1
Ameerpet,99,no,99.0,99.0,99.6,99.6,91.3,86.4,47.5,44.3,1.0
Ameerpet,100,no,98.6,95.2,98.4,96.2,79.4,74.7,23.0,16.3,1.9
Secunderabad,145,no,99.1,94.8,97.1,99.8,76.1,71.1,33.0,27.7,2.8
Secunderabad,146,no,97.0,90.8,94.6,92.2,64.0,55.9,12.0,7.7,4.0
Secunderabad,147,no,94.8,92.5,97.7,99.1,77.0,66.5,20.0,15.1,3.1
Secunderabad,148,no,97.0,92.7,99.1,98.5,82.2,71.0,29.4,23.6,1.9
Tirumalagiri,1,no,94.5,88.2,91.4,98.1,85.8,68.3,17.2,15.6,2.0
Tirumalagiri,2,no,72.0,31.6,95.9,97.7,53.5,23.5,4.1,3.0,7.2
Tirumalagiri,3,no,84.2,51.1,89.5,89.1,58.2,52.1,17.0,15.1,6.0
Tirumalagiri,4,no,90.5,78.5,97.5,98.9,82.4,77.6,37.4,31.8,1.5
Tirumalagiri,5,no,83.7,64.0,96.5,99.2,81.6,71.2,34.9,32.2,1.7
Tirumalagiri,6,no,91.2,83.5,96.7,97.1,90.5,82.9,40.6,40.3,0.7
Tirumalagiri,7,no,89.9,53.6,89.3,96.3,76.6,64.8,21.4,19.8,1.4
Tirumalagiri,8,no,91.3,73.7,95.8,98.1,82.0,74.3,16.1,14.4,2.9
Maredpalle,140,no,98.9,93.4,96.9,98.2,78.9,69.0,21.8,17.5,2.2
Maredpalle,141,no,98.3,90.2,97.0,99.8,82.3,82.6,23.9,16.9,1.1
Maredpalle,142,no,97.2,94.9,83.8,97.8,75.5,64.6,14.0,7.7,2.7
Maredpalle,149,no,96.7,84.6,97.8,97.2,75.8,73.2,35.8,34.0,5.5
Maredpalle,150,no,97.6,94.5,95.3,97.4,65.2,50.1,7.1,5.4,4.3
Musheerabad,1,no,49.1,48.8,49.8,60.0,46.7,61.1,4.4,3.5,7.2
Musheerabad,88,no,94.6,93.3,96.0,97.9,82.4,75.0,30.4,22.4,2.3
Musheerabad,89,no,98.7,98.6,99.5,99.3,83.2,81.8,20.0,15.8,1.2
Musheerabad,90,no,99.2,97.0,99.7,99.5,70.1,67.2,13.7,10.0,2.8
Musheerabad,91,no,97.8,97.0,99.8,99.6,73.7,59.8,10.4,6.3,2.6
Musheerabad,92,no,98.6,92.4,96.7,99.4,47.7,48.3,10.9,7.6,4.6
Musheerabad,93,no,98.8,94.9,99.4,99.3,84.0,80.9,36.7,29.4,1.6
Musheerabad,94,no,96.8,90.3,97.2,97.1,61.8,52.2,13.4,12.0,3.6
Musheerabad,95,no,99.1,96.1,99.4,99.4,82.3,80.0,32.7,27.2,1.8
Musheerabad,143,no,99.4,98.0,97.3,99.8,80.0,62.0,12.2,6.3,1.6
Musheerabad,144,no,99.1,96.7,97.0,99.7,77.2,64.5,15.7,10.5,1.4
Amberpet,83,no,99.2,98.5,99.6,99.0,74.4,61.6,10.1,7.3,3.4
Amberpet,84,no,97.9,97.4,98.6,99.7,72.5,57.5,4.9,5.2,2.4
Amberpet,85,no,97.8,95.8,99.6,99.6,76.4,69.8,15.3,13.1,1.9
Amberpet,86,no,96.1,98.4,99.0,99.6,84.8,84.2,40.5,36.5,1.5
Amberpet,87,no,98.6,97.4,99.4,99.6,83.5,74.2,29.3,22.4,1.5
Himayathnagar,80,no,95.0,96.2,97.9,99.4,82.7,80.0,37.8,37.1,1.4
Himayathnagar,81,no,99.2,96.0,97.9,99.8,80.7,79.3,35.3,35.3,1.7
Himayathnagar,82,no,98.6,95.0,95.9,98.2,72.8,63.2,14.7,9.6,3.2
Nampally,50,no,94.7,92.3,98.4,99.0,75.8,61.7,12.0,11.5,4.1
Nampally,51,no,98.3,92.5,99.6,99.7,68.9,52.9,8.5,7.9,3.8
Nampally,52,no,94.8,88.6,99.3,97.2,46.3,30.5,4.3,3.0,5.9
Nampally,77,no,91.2,83.2,94.9,96.8,56.5,51.9,12.0,10.1,4.6
Nampally,78,no,95.7,91.9,98.7,97.5,77.3,77.5,33.7,29.7,3.7
Nampally,79,no,96.3,96.4,97.8,99.3,88.4,81.1,24.4,19.4,1.2
Khairatabad,96,no,99.1,87.1,95.1,97.4,59.4,53.1,7.6,5.4,5.1
Khairatabad,97,no,97.1,94.6,98.6,98.8,81.6,80.6,33.5,30.3,2.0
Khairatabad,98,no,97.6,96.0,99.0,99.4,84.9,83.9,46.6,41.9,0.8
Khairatabad,102,no,96.7,93.2,92.7,96.8,68.2,58.1,19.4,14.8,3.4
Khairatabad,103,no,98.9,98.8,98.0,99.2,80.0,77.4,34.0,28.8,1.3
Khairatabad,106,no,98.5,98.6,98.9,99.5,83.6,76.4,19.4,11.8,1.6
Khairatabad,108,no,99.2,97.6,93.5,99.4,60.0,41.6,2.4,1.6,3.4
Asifnagar,61,yes,97.9,91.8,97.6,97.9,47.0,36.9,3.0,4.1,5.1
Asifnagar,62,yes,96.6,91.2,97.2,97.0,45.0,30.9,1.9,2.3,6.7
Asifnagar,63,yes,98.7,95.7,98.6,98.6,33.8,29.6,4.5,4.2,7.9
Asifnagar,64,yes,96.5,90.3,97.3,97.2,43.2,41.2,4.6,5.1,3.8
Asifnagar,65,yes,97.5,94.0,94.8,97.9,54.7,46.8,6.6,6.8,4.3
Asifnagar,66,yes,96.6,96.8,98.2,98.0,68.1,65.0,18.0,12.7,4.1
Asifnagar,67,yes,92.6,84.5,90.6,88.7,74.4,72.2,33.6,26.9,3.4
Asifnagar,72,yes,93.6,94.7,98.4,99.5,55.7,51.5,14.7,11.4,3.0
Asifnagar,73,yes,98.5,94.1,96.5,97.5,88.3,86.3,34.3,28.6,0.7
Asifnagar,74,yes,95.8,94.7,93.7,98.5,64.3,69.9,25.0,22.2,4.0
Asifnagar,75,yes,93.7,85.5,87.9,96.1,63.8,59.8,9.2,6.6,4.4
Asifnagar,76,yes,97.7,96.9,99.3,99.2,81.3,77.3,28.4,24.4,1.7
Golconda,68,yes,95.7,94.3,96.4,97.9,71.3,61.3,13.9,10.7,2.5
Golconda,69,yes,97.7,93.7,98.5,99.3,62.2,53.5,5.2,4.4,4.6
Golconda,70,yes,97.4,94.7,99.1,99.1,51.6,51.8,9.1,7.7,3.2
Golconda,71,yes,94.8,94.9,97.0,98.5,55.7,55.3,17.3,11.1,2.5
Bahadurpura,37,yes,97.3,97.8,98.8,98.3,72.1,71.9,14.1,8.9,1.6
Bahadurpura,42,yes,96.3,97.1,97.3,99.3,68.8,55.7,6.6,4.6,3.9
Bahadurpura,43,yes,92.9,89.0,95.6,97.8,22.0,29.3,4.2,4.0,3.9
Bahadurpura,44,yes,96.9,96.8,98.6,99.5,26.5,28.0,3.9,2.5,4.7
Bahadurpura,45,yes,97.3,98.0,99.5,99.6,40.2,32.2,4.2,2.9,3.0
Bahadurpura,46,yes,78.5,96.8,98.4,97.7,43.2,18.9,9.3,4.9,1.9
Bahadurpura,47,yes,97.4,96.6,99.1,99.5,50.7,44.5,10.3,6.1,2.5
Bahadurpura,48,yes,94.8,92.6,96.9,99.2,62.8,51.2,10.1,9.2,3.4
Bahadurpura,49,yes,97.1,97.9,99.3,99.0,77.7,66.3,14.6,16.4,2.7
Bahadurpura,53,yes,97.1,91.0,99.2,98.9,53.7,48.5,9.3,5.5,3.5
Bahadurpura,54,yes,96.4,93.5,97.9,98.7,39.6,37.9,6.5,5.1,3.7
Bahadurpura,55,yes,95.7,97.4,99.4,99.3,40.3,34.2,3.4,3.3,4.4
Bahadurpura,56,yes,92.9,97.0,98.2,98.6,40.4,28.0,3.8,4.1,4.3
Bandlaguda,22,yes,98.8,98.8,99.3,99.4,54.4,48.2,4.7,3.1,2.0
Bandlaguda,23,yes,96.5,93.6,95.3,97.0,37.5,40.0,9.4,5.0,3.4
Bandlaguda,24,yes,67.8,71.3,84.1,96.2,40.0,39.4,5.2,5.7,2.8
