mandal,ward_no,old_city,population,literacy_rate_7plus,female_literacy_rate_7plus,male_female_literacy_gap,wpr_all_ages,wpr_7plus,female_wpr_all_ages,female_wpr_7plus,main_worker_share,child_share_0_6,sc_share
amberpet,83,no,26762,81.0,75.5,11.1,36.9,42.0,18.8,21.3,82.7,12.2,5.8
amberpet,84,no,41720,81.0,74.8,12.0,32.4,37.4,12.5,14.4,79.1,13.4,6.0
amberpet,85,no,24826,86.0,81.7,8.5,37.9,42.7,19.6,22.0,82.4,11.2,7.7
amberpet,86,no,27719,88.0,84.4,7.2,43.8,48.0,29.9,32.7,70.1,8.8,5.3
amberpet,87,no,32531,90.7,87.1,7.2,40.5,44.3,22.9,24.9,81.6,8.6,8.7
ameerpet,99,no,20958,90.5,88.0,5.1,41.8,45.7,25.5,27.8,77.7,8.5,3.0
ameerpet,100,no,38112,86.1,81.6,9.0,42.2,47.3,26.4,29.5,72.9,10.7,7.9
asifnagar,61,yes,43718,79.3,74.7,8.9,34.1,39.5,16.3,18.9,82.9,13.8,3.1
asifnagar,62,yes,33674,73.0,66.3,13.0,35.5,41.1,16.7,19.2,77.0,13.5,21.0
asifnagar,63,yes,37129,72.0,69.5,5.0,30.5,36.3,12.1,14.4,77.5,15.8,2.2
asifnagar,64,yes,42684,74.1,69.0,10.1,34.5,39.6,15.8,18.1,78.2,13.1,3.5
asifnagar,65,yes,42365,78.1,74.4,7.2,34.5,39.7,17.2,19.7,76.9,13.2,7.4
asifnagar,66,yes,41452,81.3,77.7,7.1,31.7,36.6,15.4,17.8,80.8,13.4,1.5
asifnagar,67,yes,40688,86.2,82.9,6.4,39.9,44.8,22.5,25.3,82.6,11.0,7.7
asifnagar,72,yes,40889,82.7,79.9,5.6,30.5,35.1,14.7,16.9,79.7,13.0,1.3
asifnagar,73,yes,31635,91.9,90.2,3.4,34.5,38.8,18.6,20.9,86.6,11.2,4.7
asifnagar,74,yes,25847,85.7,82.8,5.7,34.9,39.3,18.6,20.8,79.7,11.1,11.0
asifnagar,75,yes,34868,81.5,77.9,7.0,32.3,37.1,13.8,15.8,83.7,13.0,9.1
asifnagar,76,yes,27280,89.4,87.4,3.9,31.7,35.9,14.3,16.2,91.6,11.7,4.4
bahadurpura,37,yes,30725,88.9,86.7,4.2,31.4,35.4,14.8,16.7,71.7,11.4,1.2
bahadurpura,42,yes,28678,85.8,81.7,8.1,38.1,43.0,19.7,22.1,83.3,11.4,5.7
bahadurpura,43,yes,57542,71.6,65.9,10.6,29.4,34.7,19.0,22.1,67.6,15.2,0.0
bahadurpura,44,yes,41854,74.1,70.9,6.3,32.8,38.1,16.9,19.6,69.6,13.9,0.0
bahadurpura,45,yes,38433,77.9,75.0,5.6,28.5,33.5,13.6,16.0,70.9,14.9,0.0
bahadurpura,46,yes,21082,81.1,77.9,6.3,34.7,40.4,22.0,25.7,78.7,14.1,0.0
bahadurpura,47,yes,28268,84.9,83.1,3.7,29.1,34.0,12.7,14.8,77.3,14.4,0.2
bahadurpura,48,yes,37323,82.4,79.7,5.0,27.0,31.5,11.2,13.1,67.1,14.5,0.4
bahadurpura,49,yes,17601,88.1,82.5,10.6,33.4,37.5,15.6,17.5,84.9,10.8,1.0
bahadurpura,53,yes,31292,80.9,77.7,6.5,31.9,36.1,12.7,14.3,82.3,11.7,11.2
bahadurpura,54,yes,40105,80.0,77.1,5.5,31.9,37.0,14.5,16.7,79.9,13.8,1.5
bahadurpura,55,yes,38482,80.3,77.7,5.1,28.8,33.6,12.1,14.1,82.1,14.4,1.3
bahadurpura,56,yes,56773,76.5,73.3,6.2,30.5,35.2,14.4,16.7,71.1,13.4,0.6
bandlaguda,22,yes,47220,82.1,80.0,4.0,29.9,34.9,12.9,15.0,75.1,14.3,1.1
bandlaguda,23,yes,35196,77.6,75.5,4.0,31.9,37.1,14.4,16.7,79.0,13.9,1.3
bandlaguda,24,yes,60763,79.2,75.5,7.3,29.3,33.6,13.7,15.7,71.1,12.8,2.0
bandlaguda,25,yes,22589,79.6,74.8,9.2,30.6,35.3,13.7,15.9,76.0,13.4,0.3
bandlaguda,26,yes,43599,80.5,75.8,9.2,30.5,34.7,13.8,15.6,79.3,12.2,7.0
bandlaguda,27,yes,42758,76.5,71.2,10.2,33.0,38.2,16.9,19.5,72.8,13.7,9.1
bandlaguda,28,yes,46256,81.2,77.1,8.0,33.3,38.7,15.6,18.1,80.4,13.9,3.9
bandlaguda,41,yes,31812,83.2,77.7,10.9,37.3,41.9,19.8,22.1,76.6,11.1,9.8
charminar,29,yes,54010,84.1,81.8,4.5,28.1,32.4,10.6,12.1,77.8,13.1,0.3
charminar,31,yes,25280,85.4,83.3,4.1,30.2,34.5,14.1,16.0,63.8,12.4,0.3
charminar,36,yes,32375,82.8,78.8,7.8,29.9,33.9,14.2,16.1,68.6,11.8,2.1
charminar,38,yes,25782,89.5,87.0,4.8,31.8,36.0,13.7,15.6,72.3,11.6,2.0
charminar,39,yes,68878,79.8,77.6,4.2,28.3,32.8,12.7,14.6,54.0,13.7,0.0
