ward_no,mandal,old_city,n_slums,slum_population,slum_households,ward_population_2011,slum_pop_share_pct,notified_pop_share_pct
18,saidabad,yes,5,2692,601,25242,10.7,84.7
19,saidabad,yes,12,10427,2383,45226,23.1,97.2
20,saidabad,yes,4,3940,976,45484,8.7,0.0
21,saidabad,yes,8,9988,2249,56751,17.6,81.1
22,bandlaguda,yes,6,14265,3130,47220,30.2,72.1
23,bandlaguda,yes,3,26816,5417,35196,76.2,100.0
24,bandlaguda,yes,12,20975,4614,60763,34.5,36.3
25,bandlaguda,yes,1,1566,367,22589,6.9,100.0
26,bandlaguda,yes,11,9470,2250,43599,21.7,72.9
27,bandlaguda,yes,12,17568,3720,42758,41.1,97.4
28,bandlaguda,yes,15,20453,4552,46256,44.2,39.2
29,charminar,yes,14,13409,2887,54010,24.8,100.0
30,saidabad,yes,3,3975,970,22888,17.4,100.0
31,charminar,yes,7,8343,1724,25280,33.0,100.0
32,saidabad,yes,3,4687,1010,39521,11.9,100.0
33,saidabad,yes,3,2457,536,23269,10.6,100.0
34,saidabad,yes,17,13084,2702,47127,27.8,86.3
35,saidabad,yes,8,7613,1727,40214,18.9,75.1
36,charminar,yes,6,2476,555,32375,7.6,78.5
37,bahadurpura,yes,11,4307,978,30725,14.0,71.9
38,charminar,yes,4,1181,288,25782,4.6,100.0
39,charminar,yes,13,32846,7376,68878,47.7,98.5
40,charminar,yes,1,94,30,31269,0.3,100.0
41,bandlaguda,yes,8,6994,1760,31812,22.0,94.2
42,bahadurpura,yes,14,8507,2086,28678,29.7,95.7
43,bahadurpura,yes,6,5570,1127,57542,9.7,77.5
44,bahadurpura,yes,4,14369,2706,41854,34.3,100.0
45,bahadurpura,yes,10,12117,2159,38433,31.5,90.5
46,bahadurpura,yes,5,5655,1117,21082,26.8,100.0
47,bahadurpura,yes,4,4206,846,28268,14.9,88.7
48,bahadurpura,yes,8,4293,872,37323,11.5,99.0
49,bahadurpura,yes,6,1162,260,17601,6.6,100.0
50,nampally,no,7,4622,1035,30615,15.1,100.0
51,nampally,no,6,3873,957,35729,10.8,100.0
52,nampally,no,9,5170,1353,28660,18.0,94.1
53,bahadurpura,yes,5,4225,969,31292,13.5,100.0
54,bahadurpura,yes,4,6872,1399,40105,17.1,100.0
55,bahadurpura,yes,11,16106,3422,38482,41.9,94.5
56,bahadurpura,yes,10,12914,2770,56773,22.7,99.9
61,asifnagar,yes,18,13197,2843,43718,30.2,74.6
62,asifnagar,yes,15,13512,3200,33674,40.1,56.3
63,asifnagar,yes,6,6324,1424,37129,17.0,63.3
64,asifnagar,yes,10,10032,2118,42684,23.5,80.0
65,asifnagar,yes,6,8167,1737,42365,19.3,76.5
66,asifnagar,yes,10,13301,2795,41452,32.1,85.0
67,asifnagar,yes,8,9919,2461,40688,24.4,33.8
68,golconda,yes,9,10104,2515,60074,16.8,58.7
69,golconda,yes,20,16555,3846,39933,41.5,94.2
70,golconda,yes,14,14730,3139,63787,23.1,88.8
71,golconda,yes,4,5712,1184,49565,11.5,91.6
72,asifnagar,yes,2,1645,386,40889,4.0,100.0
73,asifnagar,yes,6,2669,600,31635,8.4,100.0
74,asifnagar,yes,6,8183,1851,25847,31.7,100.0
75,asifnagar,yes,3,4509,983,34868,12.9,100.0
76,asifnagar,yes,4,1993,455,27280,7.3,100.0
77,nampally,no,22,12877,2874,40798,31.6,97.7
78,nampally,no,7,3834,954,22309,17.2,97.0
79,nampally,no,8,1224,297,31267,3.9,65.8
80,himayathnagar,no,13,7341,1664,40354,18.2,86.5
81,himayathnagar,no,13,6154,1559,30388,20.3,74.3
82,himayathnagar,no,17,9171,2149,37320,24.6,38.6
83,amberpet,no,17,16120,3823,26762,60.2,68.9
84,amberpet,no,10,14423,3374,41720,34.6,100.0
85,amberpet,no,7,2709,594,24826,10.9,89.4
86,amberpet,no,6,4701,1176,27719,17.0,100.0
87,amberpet,no,5,3964,991,32531,12.2,90.5
88,musheerabad,no,14,9202,2169,36526,25.2,63.2
89,musheerabad,no,6,1546,386,34664,4.5,55.6
90,musheerabad,no,7,3131,713,34899,9.0,100.0
91,musheerabad,no,10,4375,1025,28426,15.4,100.0
92,musheerabad,no,12,12839,2468,31697,40.5,94.9
93,musheerabad,no,12,4357,1043,26593,16.4,83.7
94,musheerabad,no,18,7372,1771,28887,25.5,81.3
95,musheerabad,no,17,7962,1839,32690,24.4,91.2
96,khairatabad,no,6,11955,2794,28768,41.6,94.4
97,khairatabad,no,6,5371,1341,35780,15.0,45.3
98,khairatabad,no,3,2592,622,26569,9.8,27.4
99,ameerpet,no,7,2745,660,20958,13.1,74.9
100,ameerpet,no,0,0,0,38112,0.0,
102,khairatabad,no,9,13902,3254,42054,33.1,77.5
103,khairatabad,no,0,0,0,54039,0.0,
104,shaikpet,no,1,312,71,30701,1.0,0.0
105,shaikpet,no,18,25243,6048,69177,36.5,89.0
106,khairatabad,no,7,6267,1542,43270,14.5,55.3
107,shaikpet,no,29,34091,8130,60103,56.7,74.5
108,khairatabad,no,41,41756,9967,40905,102.1,54.4
109,shaikpet,no,24,34493,8545,51014,67.6,84.3
110,shaikpet,no,0,0,0,39937,0.0,
140,maredpalle,no,14,13439,3238,52831,25.4,55.8
141,maredpalle,no,7,4243,1122,33742,12.6,83.0
142,maredpalle,no,5,8016,2020,24089,33.3,19.1
143,musheerabad,no,13,18372,4462,52527,35.0,91.1
144,musheerabad,no,11,7345,1807,34190,21.5,90.9
145,secunderabad,no,12,11330,2775,34659,32.7,96.1
146,secunderabad,no,19,13817,3418,29920,46.2,89.2
147,secunderabad,no,7,6027,1450,41336,14.6,70.4
148,secunderabad,no,21,15567,3941,29455,52.9,67.2
149,maredpalle,no,10,6280,1593,31948,19.7,96.0
150,maredpalle,no,9,17367,4295,29932,58.0,86.1
